                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.7071,                 2.9695,                 3.2853,                0.05762,                0.10846,                0.02499,                 0.0076,                      0,                    inf,                      0,               0.070091,              0.0033232,              0.0033232
                      1,                 2.7243,                 2.1578,                 2.3764,                0.30842,                0.23601,                0.18628,                  0.065,                      0,                    inf,                      0,                0.03996,              0.0065247,              0.0065247
                      2,                 2.3788,                 1.8426,                 2.0341,                0.37544,                0.24132,                0.20871,                0.05677,                      0,                    inf,                      0,              0.0096959,              0.0095942,              0.0095942
                      3,                 2.1729,                 1.6752,                 1.8585,                0.53071,                0.36116,                0.36821,                0.10445,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 2.0152,                 1.5404,                  1.747,                 0.4707,                 0.3241,                0.28139,                0.06537,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.9149,                 1.4313,                 1.6674,                0.63007,                0.39957,                0.41343,                0.13216,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.8522,                 1.3568,                 1.6246,                0.66284,                0.39383,                0.43876,                 0.1566,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.8056,                 1.3074,                 1.5938,                0.67944,                0.44132,                0.48254,                0.20191,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.7658,                 1.2601,                 1.5662,                0.68732,                0.50029,                0.54428,                0.24997,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.7397,                 1.2246,                 1.5503,                0.69822,                0.48838,                0.55168,                0.24253,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.7212,                 1.1997,                 1.5315,                 0.7124,                0.51497,                0.56043,                0.23696,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.6997,                 1.1651,                 1.5187,                0.70978,                0.52352,                0.57673,                 0.2685,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.6852,                 1.1571,                 1.5097,                0.72169,                0.52941,                0.58543,                0.24964,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.6681,                  1.129,                 1.4908,                0.71723,                0.53659,                0.58397,                0.25957,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.6515,                 1.1128,                 1.4838,                0.73347,                0.54577,                0.58894,                0.25622,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.6399,                 1.0935,                 1.4727,                0.73172,                0.55372,                0.61268,                0.27527,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.6359,                 1.0877,                 1.4706,                0.74493,                0.56801,                0.61822,                0.31205,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.6196,                 1.0738,                  1.461,                0.74884,                0.56571,                0.63269,                0.28153,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.6144,                 1.0624,                 1.4514,                0.75374,                0.56944,                0.62435,                0.25837,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.6024,                 1.0518,                 1.4459,                0.74351,                0.57317,                0.63113,                0.28068,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.5963,                 1.0356,                 1.4371,                0.73935,                0.57504,                0.63806,                0.27922,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                  1.582,                 1.0219,                 1.4316,                0.74838,                0.57719,                0.64056,                0.30716,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.5787,                 1.0165,                 1.4295,                0.75086,                0.59957,                0.65138,                0.31471,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.5669,                 1.0074,                 1.4253,                0.76802,                0.58377,                0.64351,                0.27572,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.5589,                0.99852,                  1.422,                0.75944,                0.58926,                0.63758,                 0.2937,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                 1.5543,                 0.9963,                  1.412,                0.76557,                0.59627,                0.66659,                0.30635,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                  1.551,                0.98586,                 1.4057,                0.75844,                0.59914,                0.65736,                0.31691,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.5448,                0.98037,                 1.4049,                0.77955,                0.60617,                0.67629,                0.33009,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.5332,                0.96981,                 1.3968,                0.77058,                0.59957,                0.65373,                0.29079,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.5274,                0.96503,                 1.3934,                0.76102,                 0.6132,                0.67251,                0.33103,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.5252,                0.95631,                 1.3879,                0.76762,                0.60387,                 0.6707,                0.30491,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                  1.523,                0.95253,                 1.3838,                0.77565,                0.61707,                0.67865,                0.31847,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.5172,                0.95217,                 1.3892,                0.77805,                0.61062,                0.67869,                0.33243,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.5011,                0.94149,                 1.3839,                0.77616,                0.61463,                0.68451,                0.33574,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                  1.506,                0.94236,                 1.3816,                0.77123,                0.61474,                0.68115,                0.33528,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.5034,                0.93835,                 1.3789,                0.77613,                0.62496,                0.68769,                0.32382,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.4995,                0.92764,                   1.37,                0.76415,                0.62802,                 0.6858,                0.33454,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                 1.4923,                0.91968,                   1.37,                0.77687,                0.62726,                0.68638,                0.33537,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.4893,                0.91807,                  1.368,                0.77322,                0.63773,                0.69272,                0.34893,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.4778,                0.90715,                 1.3557,                0.77356,                0.63673,                0.69689,                0.34932,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                  1.447,                0.87108,                 1.3761,                0.78024,                0.62196,                0.68443,                0.34238,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.4365,                0.86004,                 1.3732,                0.77346,                0.63945,                0.69997,                0.34782,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                 1.4291,                0.85412,                 1.3688,                0.77616,                0.62881,                0.69283,                0.34432,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
